key,title,achievements,effort,kind,key:campaign
# base entity
milestone-00,,,,,
# title - standard variations
milestone-01,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,TEASER,campaign-00
milestone-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,TEASER,campaign-00
# title - no singular values
# achievements- standard variations
milestone-03,"Lorem ipsum dolor sit amet, consectetu","",50.00,TEASER,campaign-01
milestone-04,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",50.00,TEASER,campaign-00
# achievements - no singular values
# effort - standard variations
milestone-05,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",-1.00,TEASER,campaign-00
milestone-06,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10001.00,TEASER,campaign-00
# effort - no singular values,"",""
# kind - standard variations,"","",""
# kind - no singular values
# campaign - standard variations
# campaign - no singular values
