key,slogan,pictureUrl,targetUrl
# base entity
advertisement-00,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,http://lorem.com/ipsum
# slogan - standard variations
advertisement-01,L,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-02,Lo,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-05,โลเร็ม อิปซัม,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-06,لوريم إيبسوم,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-07,洛伦·伊普森,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-08,<marquee>Hacked</marquee>,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-09,<script>alert(‘Hacked!’);</script>,http://lorem.com/ipsum,http://lorem.com/ipsum
advertisement-10,' or 'A' = 'A,http://lorem.com/ipsum,http://lorem.com/ipsum
# slogan - no singular values
# pictureUrl - standard variations
advertisement-11,"Lorem ipsum dolor sit amet, consectetu",http://a.b,http://lorem.com/ipsum
advertisement-12,"Lorem ipsum dolor sit amet, consectetu","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",http://lorem.com/ipsum
advertisement-13,"Lorem ipsum dolor sit amet, consectetu","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",http://lorem.com/ipsum
advertisement-14,"Lorem ipsum dolor sit amet, consectetu","http://www.lorem-ipsum.org",http://lorem.com/ipsum
advertisement-15,"Lorem ipsum dolor sit amet, consectetu","https://www.lorem-ipsum.org",http://lorem.com/ipsum
advertisement-16,"Lorem ipsum dolor sit amet, consectetu","http://www.lorem-ipsum.org/dolor/sit.html",http://lorem.com/ipsum
advertisement-17,"Lorem ipsum dolor sit amet, consectetu","http://www.lorem-ipsum.org/dolor/sit.html#dolor",http://lorem.com/ipsum
advertisement-18,"Lorem ipsum dolor sit amet, consectetu","http://example.org?a=1&b=2",http://lorem.com/ipsum
advertisement-19,"Lorem ipsum dolor sit amet, consectetu","http://example.org?",http://lorem.com/ipsum
advertisement-20,"Lorem ipsum dolor sit amet, consectetu","http://example.org?a",http://lorem.com/ipsum
advertisement-21,"Lorem ipsum dolor sit amet, consectetu","http://example.org?a&b",http://lorem.com/ipsum
advertisement-22,"Lorem ipsum dolor sit amet, consectetu","http://example.org/",http://lorem.com/ipsum
advertisement-23,"Lorem ipsum dolor sit amet, consectetu","http://example.org/a",http://lorem.com/ipsum
