key,key:project,key:member
involvedIn-00,project-33,projectMember-01
involvedIn-01,project-33,projectMember-02
involvedIn-02,project-33,projectMember-03
involvedIn-03,project-33,projectMember-04
involvedIn-04,project-50,projectMember-01
involvedIn-05,project-50,projectMember-02
involvedIn-06,project-50,projectMember-05
involvedIn-07,project-50,projectMember-04
involvedIn-08,project-51,projectMember-01
involvedIn-09,project-51,projectMember-02
involvedIn-10,project-51,projectMember-06
involvedIn-11,project-51,projectMember-04
##
involvedIn-12,project-00,projectMember-03
involvedIn-13,project-05,projectMember-03
involvedIn-14,project-06,projectMember-03
involvedIn-15,project-07,projectMember-03
involvedIn-16,project-08,projectMember-03
involvedIn-17,project-09,projectMember-03
involvedIn-18,project-10,projectMember-03
involvedIn-19,project-11,projectMember-05
involvedIn-20,project-12,projectMember-05
involvedIn-21,project-14,projectMember-05
